tier,id,institucion,sector,plataforma_empleo,requiere_js,dificultad,status_clasif,url_empleo,notas
3,476,Municipalidad de Pelluhue,Municipal,WordPress,No,Media,experimental,https://munipelluhue.cl,Sitio under construction — verificar en 1-3 meses
3,581,Municipalidad de Corral,Municipal,Trabajando.cl/OMIL,No,Baja,active,https://www.municipalidadcorral.cl/page/basespostulacioncargoanalistaareasocialppl,Trabajando.cl/OMIL | dominio corregido https://www.municipalidadcorral.cl | link home
3,643,Corporación Municipal de Desarrollo Social de Iquique,Municipal,WordPress,No,Media,active,http://unisag.cormudesi.cl/unisag/rrhh/curriculum/view/index.phtml?departamento=1,WordPress | meta:wordpress 6.9.4
3,644,Corporación Municipal de Desarrollo Social de Pozo Almonte,Municipal,WordPress,No,Media,active,https://cormudespa.cl/,Corporacion Municipal Desarrollo Social (SPA?); sin URL dedicada
3,645,Corporación Municipal de Desarrollo Social de Antofagasta,Municipal,WordPress,No,Media,active,https://www.cmds.cl/trabaja-con-nosotros/,WordPress | meta:wordpress 5.4.19
3,646,Corporación Municipal de Desarrollo Social de Calama,Municipal,Sitio propio,No,Baja,active,https://www.comdescalama.cl/trabaja-con-nosotros/,Corporación mixta de educación y salud. Publica empleos en sección propia.
3,647,Corporación Municipal de Valparaíso,Municipal,WordPress,No,Baja,active,https://cmvalparaiso.cl/category/oferta-de-trabajo/,"Corporación mixta (educación, salud, cementerios). Publica activamente ofertas en blog WordPress."
3,650,Corporación Municipal de Villa Alemana,Municipal,Sitio propio,No,Baja,active,https://www.cmva.cl/trabaja-con-nosotros/,Corporación mixta de educación y salud.
3,651,Corporación Municipal de Rancagua,Municipal,Sitio propio,No,Media,active,https://www.educormun.cl,Cormun Rancagua - educormun.cl (educacion)
3,652,Corporación Municipal de San Fernando,Municipal,WordPress,No,Media,active,https://cormusaf.cl/concursos/,Cormusaf San Fernando; probe detecto /concursos/
3,653,Corporación Municipal de Panguipulli,Municipal,Sitio propio,No,Baja,active,https://cmpanguipulli.com,"Corporación mixta (educación, salud, menores). Cubre toda la red municipal de Panguipulli."
3,654,Corporación Municipal de Castro,Municipal,WordPress,No,Media,active,https://www.municipalidadcastro.cl/?p=29062,WordPress | meta:powered by wpbakery page builder - 
3,655,Corporación Municipal de Ancud,Municipal,WordPress,No,Media,active,http://www.corporacionancud.cl/inicio/category/concursos-publicos/,Corporacion Ancud en corporacionancud.cl (distinto al parent)
3,656,Corporación Municipal de Dalcahue,Municipal,WordPress,No,Media,active,https://www.munidalcahue.cl/portal/,Corporacion Dalcahue comparte sitio con muni
3,657,Corporación Municipal de Chonchi,Municipal,WordPress,No,Media,active,https://municipalidadchonchi.cl/web/documentos/decreto-convocatoria-consejo-comunal-de-organizaciones-de-la-sociedad-civil/,WordPress | dominio re-encontrado variaciones v2
3,658,Corporación Municipal de Queilén,Municipal,WordPress,No,Media,active,https://muniqueilen.cl/concursos-publicos/,WordPress | dominio re-encontrado variaciones v2
3,659,Corporación Municipal de Quellón,Municipal,WordPress,No,Media,active,https://muniquellon.cl/concursos-publicos-2/,WordPress | meta:wordpress 6.9.4
3,660,Corporación Municipal de Quinchao,Municipal,Sitio propio,No,Media,active,https://corporacionquinchao.cl/transparencia_activa/,Corporacion Quinchao - dominio propio corporacionquinchao.cl
3,661,Corporación Municipal de Curaco de Vélez,Municipal,WordPress,No,Media,active,https://curacodevelez.cl/web/cat_doc/recepcion-de-antecedentes/,WordPress | dominio re-encontrado variaciones v2
3,662,Corporación Municipal de Puqueldón,Municipal,WordPress,No,Media,active,https://munipuqueldon.cl/municipio/concursos-publicos/,WordPress | wp-content
3,663,Corporación Municipal de Punta Arenas,Municipal,Sitio propio,No,Baja,active,https://www.apscormupa.cl/postulaciones,"Corporación mixta (educación, salud, menores). Portal de postulaciones propio activo."
3,664,Corporación Municipal de Peñalolén,Municipal,Sitio propio,No,Baja,active,https://www.cormup.cl/concursos/,Corporación mixta. Publica activamente concursos en sitio propio.
3,665,Corporación de Educación de Maipú,Municipal,WordPress,No,Media,active,http://www.codeduc.cl/trabaja-con-nosotros/,WordPress | meta:wordpress 4.9.8
3,666,Corporación de Desarrollo Social de Pudahuel,Municipal,Sitio propio,No,Baja,active,https://www.codep.cl/portal-laboral/,"Salud, menores y cementerio (no educación). Publica activamente. Email: postulaciones@codep.cl"
3,667,Corporación de Desarrollo Social de Ñuñoa,Municipal,Sitio propio,No,Baja,active,https://www.cmdsnunoa.cl/trabaja-con-nosotros/,Corporación mixta. Publica activamente.
3,668,Corporación de Salud y Educación de Las Condes,Municipal,Sitio propio,No,Media,active,https://tcn.corplascondes.cl/,Sitio propio | html estatico
3,669,Corporación de Desarrollo Social de Providencia,Municipal,Trabajando.cl/OMIL,No,Baja,active,https://cdsprovidencia.trabajando.cl/,Portal Trabajando.cl en cdsprovidencia.trabajando.cl
3,670,Corporación de Salud y Menores de Conchalí,Municipal,Sitio propio,No,Baja,active,https://coresam.cl/oferta-laboral/,"Corporación mixta (educación, salud, menores). Publica activamente. Email: reclutamiento@coresam.cl"
3,671,Corporación Municipal de Macul,Municipal,WordPress,No,Media,active,https://www.corpomunimacul.cl/macul-premia-la-creatividad-y-participacion-comunitaria-en-concurso-salud-mental-en-100-palabras/,WordPress | meta:wordpress 6.9.4
3,672,Corporación Municipal de Melipilla,Municipal,Sitio propio,No,Baja,active,https://corpomelipilla.cl/trabaja-en-la-corpo/,Corporación mixta. Publica activamente en sitio propio.
3,673,Corporación Municipal de Colina,Municipal,Sitio propio,No,Media,active,https://www.corporacioncolina.cl,Corporación de desarrollo social de Colina.
3,674,Corporación Municipal de Pirque,Municipal,WordPress,No,Media,active,https://www.corpirque.cl/concursos-publicos/,WordPress | meta:wordpress 6.9.4
4,67,Junta Nacional de Jardines Infantiles,Ejecutivo Central,empleospublicos.cl,Sí,Alta,js_required,https://www.empleospublicos.cl,Publica en empleospublicos.cl. Sitio propio requiere JS
4,622,Municipalidad de Coyhaique,Municipal,PHP (transparencia),No,Media,js_required,https://www.coyhaique.cl/transparencia/actos_y_resoluciones/concursos.php,Concursos publicados en sección transparencia. Bases descargables.
